timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1667619240035,1208,Request1,200,OK,Thread Group 1-1,text,true,,18166,234,10,10,https://www.google.com/,558,0,162
1667619240035,559,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,115,10,10,https://google.com/,558,0,162
1667619240594,649,Request1-1,200,OK,Thread Group 1-1,text,true,,17463,119,10,10,https://www.google.com/,638,0,130
1667619240146,1173,Request1,200,OK,Thread Group 1-2,text,true,,18197,234,10,10,https://www.google.com/,514,0,134
1667619240146,514,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,115,10,10,https://google.com/,514,0,134
1667619240661,658,Request1-1,200,OK,Thread Group 1-2,text,true,,17494,119,10,10,https://www.google.com/,649,0,126
1667619240246,1220,Request1,200,OK,Thread Group 1-3,text,true,,18236,234,10,10,https://www.google.com/,524,0,144
1667619240246,524,Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,115,10,10,https://google.com/,524,0,144
1667619240773,693,Request1-1,200,OK,Thread Group 1-3,text,true,,17533,119,10,10,https://www.google.com/,673,0,130
1667619240347,1186,Request1,200,OK,Thread Group 1-4,text,true,,18174,234,10,10,https://www.google.com/,551,0,170
1667619240347,552,Request1-0,301,Moved Permanently,Thread Group 1-4,text,true,,703,115,10,10,https://google.com/,551,0,170
1667619240899,634,Request1-1,200,OK,Thread Group 1-4,text,true,,17471,119,10,10,https://www.google.com/,623,0,121
1667619240446,1179,Request1,200,OK,Thread Group 1-5,text,true,,18202,234,10,10,https://www.google.com/,527,0,147
1667619240446,527,Request1-0,301,Moved Permanently,Thread Group 1-5,text,true,,703,115,10,10,https://google.com/,527,0,147
1667619240974,651,Request1-1,200,OK,Thread Group 1-5,text,true,,17499,119,10,10,https://www.google.com/,640,0,129
1667619240547,1164,Request1,200,OK,Thread Group 1-6,text,true,,18232,234,10,10,https://www.google.com/,511,0,131
1667619240547,511,Request1-0,301,Moved Permanently,Thread Group 1-6,text,true,,703,115,10,10,https://google.com/,511,0,131
1667619241058,653,Request1-1,200,OK,Thread Group 1-6,text,true,,17529,119,10,10,https://www.google.com/,641,0,136
1667619240646,1199,Request1,200,OK,Thread Group 1-7,text,true,,18169,234,10,10,https://www.google.com/,503,0,130
1667619240646,503,Request1-0,301,Moved Permanently,Thread Group 1-7,text,true,,703,115,10,10,https://google.com/,503,0,130
1667619241165,680,Request1-1,200,OK,Thread Group 1-7,text,true,,17466,119,10,10,https://www.google.com/,673,0,164
1667619240845,1149,Request1,200,OK,Thread Group 1-9,text,true,,18158,234,10,10,https://www.google.com/,511,0,131
1667619240845,511,Request1-0,301,Moved Permanently,Thread Group 1-9,text,true,,703,115,10,10,https://google.com/,511,0,131
1667619241357,637,Request1-1,200,OK,Thread Group 1-9,text,true,,17455,119,10,10,https://www.google.com/,633,0,125
1667619240745,2009,Request1,200,OK,Thread Group 1-8,text,true,,18220,234,10,10,https://www.google.com/,519,0,141
1667619240745,519,Request1-0,301,Moved Permanently,Thread Group 1-8,text,true,,703,115,10,10,https://google.com/,519,0,141
1667619241264,1490,Request1-1,200,OK,Thread Group 1-8,text,true,,17517,119,10,10,https://www.google.com/,1479,0,152
1667619241245,1729,Request1,200,OK,Thread Group 1-1,text,true,,18180,234,10,10,https://www.google.com/,1081,0,0
1667619241245,1081,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,115,10,10,https://google.com/,1081,0,0
1667619242326,648,Request1-1,200,OK,Thread Group 1-1,text,true,,17477,119,10,10,https://www.google.com/,637,0,0
1667619241320,1731,Request1,200,OK,Thread Group 1-2,text,true,,18185,234,10,10,https://www.google.com/,1083,0,0
1667619241320,1083,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,115,10,10,https://google.com/,1083,0,0
1667619242403,648,Request1-1,200,OK,Thread Group 1-2,text,true,,17482,119,10,10,https://www.google.com/,642,0,0
1667619241467,1698,Request1,200,OK,Thread Group 1-3,text,true,,18244,234,10,10,https://www.google.com/,1039,0,0
1667619241467,1039,Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,115,10,10,https://google.com/,1039,0,0
1667619242506,659,Request1-1,200,OK,Thread Group 1-3,text,true,,17541,119,10,10,https://www.google.com/,646,0,0
1667619241534,1804,Request1,200,OK,Thread Group 1-4,text,true,,18162,234,10,10,https://www.google.com/,1106,0,0
1667619241534,1106,Request1-0,301,Moved Permanently,Thread Group 1-4,text,true,,703,115,10,10,https://google.com/,1106,0,0
1667619242640,698,Request1-1,200,OK,Thread Group 1-4,text,true,,17459,119,10,10,https://www.google.com/,637,0,0
1667619241625,1826,Request1,200,OK,Thread Group 1-5,text,true,,18177,234,10,10,https://www.google.com/,472,0,0
1667619241625,472,Request1-0,301,Moved Permanently,Thread Group 1-5,text,true,,703,115,10,10,https://google.com/,472,0,0
1667619242097,1354,Request1-1,200,OK,Thread Group 1-5,text,true,,17474,119,10,10,https://www.google.com/,1353,0,0
1667619241716,1737,Request1,200,OK,Thread Group 1-6,text,true,,18198,234,10,10,https://www.google.com/,379,0,0
1667619241716,379,Request1-0,301,Moved Permanently,Thread Group 1-6,text,true,,703,115,10,10,https://google.com/,379,0,0
1667619242095,1358,Request1-1,200,OK,Thread Group 1-6,text,true,,17495,119,10,10,https://www.google.com/,1357,0,0
1667619240947,2604,Request1,200,OK,Thread Group 1-10,text,true,,18129,234,10,10,https://www.google.com/,1950,0,137
1667619240947,1950,Request1-0,301,Moved Permanently,Thread Group 1-10,text,true,,703,115,10,10,https://google.com/,1950,0,137
1667619242898,653,Request1-1,200,OK,Thread Group 1-10,text,true,,17426,119,10,10,https://www.google.com/,652,0,138
1667619242757,942,Request1,200,OK,Thread Group 1-8,text,true,,18203,234,10,10,https://www.google.com/,384,0,0
1667619242757,384,Request1-0,301,Moved Permanently,Thread Group 1-8,text,true,,703,115,10,10,https://google.com/,384,0,0
1667619243141,558,Request1-1,200,OK,Thread Group 1-8,text,true,,17500,119,10,10,https://www.google.com/,547,0,0
1667619241845,1873,Request1,200,OK,Thread Group 1-7,text,true,,18201,234,10,10,https://www.google.com/,1353,0,0
1667619241845,1353,Request1-0,301,Moved Permanently,Thread Group 1-7,text,true,,703,115,10,10,https://google.com/,1353,0,0
1667619243198,520,Request1-1,200,OK,Thread Group 1-7,text,true,,17498,119,10,10,https://www.google.com/,510,0,0
1667619241994,1749,Request1,200,OK,Thread Group 1-9,text,true,,18217,234,10,10,https://www.google.com/,382,0,0
